SENT	QUERY-ID	RELATION-DESCRIPTION	IS-RELEVANT	IS-TOP-10
The median duration between the onset of symptom and initiating therapy was five days ( IQR , 3 - 6 ) .	28	disease-duration	0	1
The mean duration of <<HFOV>> was [[3.2 days ( 12 h to 10 days )]] .	28	disease-duration	1	1
The median time interval between ICI initiation and signs/symptoms was 109 days .	28	disease-duration	0	1
The median duration of the observation episodes was 28 days ( interquartile range , 28 - 35 days ) .	28	disease-duration	0	1
The median duration of <<cough>> was [[7 days ( range : 2 - 30 days )]] .	28	disease-duration	1	1
The median time from onset of illness to diagnosis was 2 d ( range : 0 - 42 d ) .	28	disease-duration	0	1
The median duration from illness onset to CT scan was 4 days , ranging from 1 to 14 days .	28	disease-duration	0	1
The median duration from illness onset to CT scan was 4 days , ranging from 1 to 14 days .	28	disease-duration	0	1
The median duration from first symptoms to serological testing in these 27 patients was 16 days ( IQR 9 - 20 days ) .	28	disease-duration	0	1
The median duration from the onset of symptoms to diagnosis was 5 d ( IQR : 2 - 7 ) .	28	disease-duration	0	1
The mean duration of ,<<symptoms of viral respiratory infection>> was [[6.8±4.2 ( range : 2 to 31 ) days]] .	28	disease-duration	1	0
The median number of doses per patient was 10 ( 5 - 35 ) and the median duration of treatment was 27 days ( 5 - 150 ) .	28	disease-duration	0	0
The median duration of treatement was 2 days ( interquartile range , ( 1 , 3 ) ) .	28	disease-duration	0	0
The median duration of <<fever and cough>> were [[2 days ( 0 - 10 ) and 3 days ( 0 - 18 )]] , respectively .	28	disease-duration	1	0
The median duration of symptoms before admission was 4 days ( interquartile range 1 - 8 ) .	28	disease-duration	0	0
The median time from illness onset to admission was four days ( IQR , 2 - 6 days ) .	28	disease-duration	0	0
The median duration from onset of symptoms to admission was 5 days .	28	disease-duration	0	0
The median duration of <<fever>> was [[only two days]] , and total symptom duration was four days .	28	disease-duration	1	0
The median time to the onset of the infection was 95 days ( range 0 to 700 ) .	28	disease-duration	0	0
For severe patients , the median time from onset of symptoms to severe illness was 11 days ( IQR , 7 - 13 ) .	28	disease-duration	0	0
However , it is currently unclear if <<there is a delayed viral clearance>> in [[the more vulnerable population , such as those who are older , have immunodeficiencies , or are receiving immunosuppressive therapies]] .	57	lacunas	1	1	
However , the <<systemic landscape of the immune responses>> in [[patients with COVID-19]] is unclear .	57	lacunas	1	1
It is unknown if <<antibiotics>> modify [[the gene expression profile of these persistent chlamydiae in a clinically relevant manner]] .	57	lacunas	1	1
However , it remains unanswered whether <<multiple concomitant respiratory viral infections>> are associated with [[more severe bronchiolitis]] .	57	lacunas	1	1
It is still unknown whether <<virus neutralization or other antibody-mediated mechanisms>> are correlated with [[protection]] .	57	lacunas	1	1
Although patients with cancer may be immunocompromised because of the disease and/or cancer treatment , it is unclear whether the <<success rate of COVID-19 treatment>> is decreased because of this [[underlying immunosuppression]] .	57	lacunas	1	1
It is yet unknown whether <<individuals that are under treatment with sitagliptin>> are less susceptible to [[MERS-CoV infection]] or whether they do not produce as severe symptoms of the disease .	57	lacunas	1	1
It remains unclear whether <<TD>> can be due to [[changes in the normal flora without the involvement of enteric pathogens]] .	57	lacunas	1	1
It remains unclear whether <<liver injury>> is caused by [[the virus itself]] or reflects a severe inflammatory response with liver damage .	57	lacunas	1	1
